2.0256,1.4471,0.89794,0.13176,-0.49956,-0.93129
1.9826,1.3985,0.82307,0.059263,-0.56014,-0.97936
1.9395,1.3488,0.74739,-0.012481,-0.61987,-1.0266
1.8965,1.2976,0.67114,-0.08345,-0.67874,-1.0729
1.8534,1.2449,0.59452,-0.15363,-0.73675,-1.1184
1.8102,1.1904,0.51772,-0.22299,-0.79389,-1.163
1.7671,1.134,0.44091,-0.29154,-0.85017,-1.2067
1.7238,1.0755,0.36424,-0.35926,-0.90557,-1.2496
1.6805,1.0149,0.28782,-0.42613,-0.96009,-1.2916
1.6372,0.95211,0.21178,-0.49214,-1.0137,-1.3327
1.5937,0.88725,0.13619,-0.55729,-1.0665,-1.3729
1.5502,0.82037,0.061145,-0.62156,-1.1183,-1.4122
1.5066,0.75164,-0.013294,-0.68495,-1.1693,-1.4506
1.4628,0.68125,-0.087065,-0.74743,-1.2193,-1.488
1.4189,0.60945,-0.16011,-0.80899,-1.2684,-1.5246
1.3749,0.53648,-0.23239,-0.86961,-1.3165,-1.5602
1.3306,0.4626,-0.30384,-0.92927,-1.3637,-1.5948
1.2861,0.38807,-0.37442,-0.98795,-1.4099,-1.6284
1.2413,0.31314,-0.44408,-1.0456,-1.455,-1.6611
1.1961,0.23804,-0.51277,-1.1022,-1.4991,-1.6926
1.1505,0.16302,-0.58042,-1.1577,-1.5421,-1.723
1.1044,0.08827,-0.64697,-1.2121,-1.5839,-1.7523
1.0578,0.014015,-0.71234,-1.2652,-1.6245,-1.7804
1.0105,-0.059546,-0.77642,-1.317,-1.6638,-1.8071
0.96248,-0.13221,-0.83912,-1.3673,-1.7016,-1.8324
0.91368,-0.20376,-0.9003,-1.4162,-1.7379,-1.8562
0.86404,-0.27399,-0.9598,-1.4633,-1.7725,-1.8783
0.81357,-0.34267,-1.0175,-1.5086,-1.8053,-1.8986
0.76231,-0.40957,-1.0731,-1.5518,-1.836,-1.9168
0.71035,-0.47446,-1.1266,-1.5928,-1.8645,-1.9329
0.65784,-0.53711,-1.1776,-1.6314,-1.8906,-1.9466
0.60499,-0.59733,-1.2261,-1.6675,-1.9142,-1.9577
0.55204,-0.65493,-1.2718,-1.7008,-1.935,-1.9662
0.49927,-0.7098,-1.3148,-1.7312,-1.953,-1.9719
0.44693,-0.76186,-1.3548,-1.7589,-1.9682,-1.9748
0.39527,-0.81112,-1.392,-1.7836,-1.9806,-1.975
0.34451,-0.8576,-1.4264,-1.8056,-1.9902,-1.9725
0.29482,-0.9014,-1.4581,-1.825,-1.9971,-1.9675
0.24633,-0.94263,-1.4872,-1.8417,-2.0016,-1.9602
0.19915,-0.98141,-1.5139,-1.8561,-2.0038,-1.9506
0.15337,-1.0179,-1.5383,-1.8683,-2.0038,-1.9391
0.10904,-1.0521,-1.5606,-1.8784,-2.0018,-1.9258
0.0662,-1.0842,-1.5808,-1.8865,-1.998,-1.911
0.024906,-1.1143,-1.599,-1.8928,-1.9924,-1.8947
-0.014798,-1.1423,-1.6153,-1.8973,-1.9853,-1.8771
-0.052841,-1.1682,-1.6298,-1.9001,-1.9766,-1.8585
-0.089123,-1.192,-1.6423,-1.9012,-1.9666,-1.8389
-0.1235,-1.2137,-1.6529,-1.9007,-1.9552,-1.8186
-0.15576,-1.2331,-1.6616,-1.8986,-1.9426,-1.7976
-0.18567,-1.2501,-1.6683,-1.8949,-1.9288,-1.7763
-0.21293,-1.2646,-1.6729,-1.8896,-1.914,-1.7547
-0.23722,-1.2764,-1.6754,-1.8828,-1.8982,-1.733
-0.25823,-1.2854,-1.6757,-1.8744,-1.8816,-1.7115
-0.27568,-1.2915,-1.6738,-1.8645,-1.8642,-1.6903
-0.2893,-1.2945,-1.6695,-1.853,-1.846,-1.6696
-0.29894,-1.2944,-1.6629,-1.84,-1.8272,-1.6493
-0.30451,-1.2911,-1.6539,-1.8254,-1.8076,-1.6296
-0.306,-1.2846,-1.6425,-1.8092,-1.7873,-1.6104
-0.30348,-1.275,-1.6286,-1.7913,-1.7663,-1.5917
-0.29708,-1.2622,-1.6123,-1.7716,-1.7442,-1.5733
-0.28694,-1.2462,-1.5933,-1.75,-1.7211,-1.5551
-0.27324,-1.2271,-1.5718,-1.7264,-1.6967,-1.5372
-0.25614,-1.2048,-1.5475,-1.7005,-1.6708,-1.5192
-0.23578,-1.1792,-1.5203,-1.6722,-1.6432,-1.5014
